today_temp,humidity,wind_speed,tomorrow_temp
20,60,10,21
22,65,8,23
18,55,12,19
25,70,5,26
15,50,15,16
30,80,3,31
28,75,7,29
20,60,10,21
22,65,8,23
18,55,12,19
25,70,5,26
15,50,15,16
30,80,3,31
28,75,7,29
24,68,6,25
19,58,11,20
16,52,14,17
27,72,9,28
21,62,10,22
32,85,4,33
14,48,16,15
23,66,8,24
29,78,5,30
17,54,13,18
26,73,6,27
13,45,18,14
31,82,4,32
24,69,7,25
19,57,12,20
22,64,9,23
27,74,8,28
16,53,15,17
33,88,3,34
21,61,11,22
28,76,6,29
18,56,13,19
23,67,7,24
30,79,5,31
14,49,17,15
25,71,8,26
20,59,10,21
29,77,6,30
17,55,14,18
32,84,4,33
15,51,16,16
26,72,7,27
19,60,12,20
24,70,6,25
31,83,5,32
